Conc,Control,Comparison,Total,Species
1.5%,14,9,23,D. suzukii
1.5%,14,5,19,D. suzukii
1.5%,6,4,10,D. suzukii
1.5%,24,11,35,D. suzukii
1.5%,16,3,19,D. suzukii
1.5%,10,7,17,D. suzukii
1.5%,25,10,35,D. suzukii
1.5%,16,29,45,D. suzukii
1.5%,26,18,44,D. suzukii
1.5%,15,9,24,D. suzukii
1.5%,26,21,47,D. suzukii
1.5%,25,25,50,D. suzukii
1.5%,0,11,11,D. suzukii
1.5%,18,14,32,D. suzukii
1.5%,28,29,57,D. suzukii
1.5%,5,8,13,D. suzukii
1.5%,17,11,28,D. subpulchrella
1.5%,14,2,16,D. subpulchrella
1.5%,21,9,30,D. subpulchrella
1.5%,15,5,20,D. subpulchrella
1.5%,19,3,22,D. subpulchrella
1.5%,18,10,28,D. subpulchrella
1.5%,20,21,41,D. subpulchrella
1.5%,13,0,13,D. subpulchrella
1.5%,30,4,34,D. subpulchrella
1.5%,1,11,12,D. subpulchrella
1.5%,8,8,16,D. subpulchrella
1.5%,13,1,14,D. subpulchrella
1.5%,7,8,15,D. subpulchrella
1.5%,21,1,22,D. subpulchrella
1.5%,12,14,26,D. subpulchrella
1.5%,24,11,35,D. subpulchrella
1.5%,33,15,48,D. biarmipes
1.5%,26,3,29,D. biarmipes
1.5%,35,1,36,D. biarmipes
1.5%,36,1,37,D. biarmipes
1.5%,33,3,36,D. biarmipes
1.5%,41,20,61,D. biarmipes
1.5%,28,28,56,D. biarmipes
1.5%,23,30,53,D. biarmipes
1.5%,29,13,42,D. biarmipes
1.5%,46,1,47,D. biarmipes
1.5%,31,8,39,D. biarmipes
1.5%,38,1,39,D. biarmipes
1.5%,8,19,27,D. biarmipes
1.5%,16,37,53,D. biarmipes
1.5%,25,0,25,D. biarmipes
1.5%,8,2,10,D. biarmipes
1.5%,14,1,15,D. biarmipes
1.5%,35,0,35,D. biarmipes
1.5%,18,0,18,D. biarmipes
1.5%,19,0,19,D. biarmipes
1.5%,2,91,93,D. melanogaster
1.5%,1,160,161,D. melanogaster
1.5%,5,93,98,D. melanogaster
1.5%,1,96,97,D. melanogaster
1.5%,6,93,99,D. melanogaster
1.5%,0,71,71,D. melanogaster
1.5%,3,120,123,D. melanogaster
1.5%,2,102,104,D. melanogaster
1.5%,2,98,100,D. melanogaster
1.5%,14,47,61,D. melanogaster
1.5%,2,88,90,D. melanogaster
1.5%,1,106,107,D. melanogaster
1.5%,6,87,93,D. melanogaster
1.5%,1,79,80,D. melanogaster
1.5%,1,79,80,D. melanogaster
1.5%,2,97,99,D. melanogaster
1.5%,2,89,91,D. melanogaster
1.5%,2,83,85,D. melanogaster
1.5%,6,46,52,D. melanogaster
1.5%,0,100,100,D. melanogaster
1.5%,0,43,43,D. melanogaster
1.5%,0,11,11,D. melanogaster
1.5%,0,41,41,D. melanogaster
1.5%,2,16,18,D. melanogaster
1.5%,0,43,43,D. melanogaster
1.5%,0,54,54,D. melanogaster
1.5%,0,88,88,D. melanogaster
1.5%,0,64,64,D. melanogaster
2.5%,31,15,46,D. suzukii
2.5%,12,5,17,D. suzukii
2.5%,56,21,77,D. suzukii
2.5%,83,17,100,D. suzukii
2.5%,77,22,99,D. suzukii
2.5%,65,18,83,D. suzukii
2.5%,72,15,87,D. suzukii
2.5%,44,12,56,D. suzukii
2.5%,47,9,56,D. suzukii
2.5%,46,6,52,D. suzukii
2.5%,47,35,82,D. suzukii
2.5%,21,15,36,D. suzukii
2.5%,23,7,30,D. suzukii
2.5%,45,19,64,D. suzukii
2.5%,25,10,35,D. suzukii
2.5%,16,4,20,D. suzukii
2.5%,9,23,32,D. suzukii
2.5%,20,20,40,D. suzukii
2.5%,18,14,32,D. suzukii
2.5%,2,20,22,D. subpulchrella
2.5%,12,4,16,D. subpulchrella
2.5%,15,1,16,D. subpulchrella
2.5%,11,0,11,D. subpulchrella
2.5%,8,26,34,D. subpulchrella
2.5%,35,9,44,D. subpulchrella
2.5%,11,17,28,D. subpulchrella
2.5%,10,2,12,D. subpulchrella
2.5%,14,1,15,D. subpulchrella
2.5%,19,3,22,D. subpulchrella
2.5%,26,6,32,D. subpulchrella
2.5%,12,10,22,D. subpulchrella
2.5%,28,9,37,D. subpulchrella
2.5%,18,10,28,D. subpulchrella
2.5%,6,4,10,D. subpulchrella
2.5%,8,5,13,D. biarmipes
2.5%,19,0,19,D. biarmipes
2.5%,29,10,39,D. biarmipes
2.5%,28,0,28,D. biarmipes
2.5%,30,10,40,D. biarmipes
2.5%,18,0,18,D. biarmipes
2.5%,22,1,23,D. biarmipes
2.5%,5,2,7,D. biarmipes
2.5%,27,0,27,D. biarmipes
2.5%,10,0,10,D. biarmipes
2.5%,20,0,20,D. biarmipes
2.5%,14,0,14,D. biarmipes
2.5%,22,0,22,D. biarmipes
2.5%,10,0,10,D. biarmipes
2.5%,15,0,15,D. biarmipes
2.5%,2,134,136,D. melanogaster
2.5%,1,120,121,D. melanogaster
2.5%,3,115,118,D. melanogaster
2.5%,3,120,123,D. melanogaster
2.5%,3,124,127,D. melanogaster
2.5%,1,135,136,D. melanogaster
2.5%,5,105,110,D. melanogaster
2.5%,2,117,119,D. melanogaster
2.5%,3,131,134,D. melanogaster
2.5%,1,100,101,D. melanogaster
2.5%,0,42,42,D. melanogaster
2.5%,0,78,78,D. melanogaster
2.5%,0,83,83,D. melanogaster
2.5%,0,84,84,D. melanogaster
2.5%,0,40,40,D. melanogaster
2.5%,0,101,101,D. melanogaster
2.5%,2,112,114,D. melanogaster
2.5%,0,75,75,D. melanogaster
2.5%,0,87,87,D. melanogaster
2.5%,0,115,115,D. melanogaster
3.5%,47,1,48,D. suzukii
3.5%,21,16,37,D. suzukii
3.5%,23,1,24,D. suzukii
3.5%,27,2,29,D. suzukii
3.5%,40,0,40,D. suzukii
3.5%,20,11,31,D. suzukii
3.5%,12,2,14,D. suzukii
3.5%,23,4,27,D. suzukii
3.5%,17,8,25,D. suzukii
3.5%,17,11,28,D. suzukii
3.5%,27,2,29,D. suzukii
3.5%,29,14,43,D. suzukii
3.5%,39,9,48,D. suzukii
3.5%,25,4,29,D. suzukii
3.5%,9,3,12,D. suzukii
3.5%,17,0,17,D. suzukii
3.5%,12,14,26,D. suzukii
3.5%,52,19,71,D. suzukii
3.5%,16,2,18,D. suzukii
3.5%,6,12,18,D. suzukii
3.5%,10,4,14,D. suzukii
3.5%,30,2,32,D. suzukii
3.5%,37,1,38,D. suzukii
3.5%,12,9,21,D. suzukii
3.5%,43,34,77,D. suzukii
3.5%,12,8,20,D. suzukii
3.5%,27,10,37,D. suzukii
3.5%,8,2,10,D. subpulchrella
3.5%,6,6,12,D. subpulchrella
3.5%,7,5,12,D. subpulchrella
3.5%,14,3,17,D. subpulchrella
3.5%,9,1,10,D. subpulchrella
3.5%,24,1,25,D. subpulchrella
3.5%,39,0,39,D. subpulchrella
3.5%,21,0,21,D. subpulchrella
3.5%,11,3,14,D. subpulchrella
3.5%,11,1,12,D. subpulchrella
3.5%,11,1,12,D. subpulchrella
3.5%,14,2,16,D. subpulchrella
3.5%,16,1,17,D. subpulchrella
3.5%,23,4,27,D. subpulchrella
3.5%,7,3,10,D. subpulchrella
3.5%,44,3,47,D. biarmipes
3.5%,9,0,9,D. biarmipes
3.5%,38,3,41,D. biarmipes
3.5%,22,0,22,D. biarmipes
3.5%,33,8,41,D. biarmipes
3.5%,24,4,28,D. biarmipes
3.5%,54,0,54,D. biarmipes
3.5%,16,4,20,D. biarmipes
3.5%,39,0,39,D. biarmipes
3.5%,32,8,40,D. biarmipes
3.5%,9,1,10,D. biarmipes
3.5%,5,9,14,D. biarmipes
3.5%,14,0,14,D. biarmipes
3.5%,9,1,10,D. biarmipes
3.5%,10,1,11,D. biarmipes
3.5%,9,136,145,D. melanogaster
3.5%,4,129,133,D. melanogaster
3.5%,22,57,79,D. melanogaster
3.5%,3,91,94,D. melanogaster
3.5%,14,116,130,D. melanogaster
3.5%,3,86,89,D. melanogaster
3.5%,3,121,124,D. melanogaster
3.5%,1,94,95,D. melanogaster
3.5%,0,51,51,D. melanogaster
3.5%,4,91,95,D. melanogaster
3.5%,0,142,142,D. melanogaster
3.5%,0,143,143,D. melanogaster
3.5%,0,124,124,D. melanogaster
3.5%,0,108,108,D. melanogaster
3.5%,0,164,164,D. melanogaster
3.5%,0,175,175,D. melanogaster
3.5%,0,112,112,D. melanogaster
3.5%,1,154,155,D. melanogaster
