Conc,OPI,Species
1.5%,-0.217391304,D. suzukii
1.5%,-0.473684211,D. suzukii
1.5%,-0.2,D. suzukii
1.5%,-0.371428571,D. suzukii
1.5%,-0.684210526,D. suzukii
1.5%,-0.176470588,D. suzukii
1.5%,-0.428571429,D. suzukii
1.5%,0.288888889,D. suzukii
1.5%,-0.181818182,D. suzukii
1.5%,-0.25,D. suzukii
1.5%,-0.106382979,D. suzukii
1.5%,0,D. suzukii
1.5%,1,D. suzukii
1.5%,-0.125,D. suzukii
1.5%,0.01754386,D. suzukii
1.5%,0.230769231,D. suzukii
1.5%,-0.214285714,D. subpulchrella
1.5%,-0.75,D. subpulchrella
1.5%,-0.4,D. subpulchrella
1.5%,-0.5,D. subpulchrella
1.5%,-0.727272727,D. subpulchrella
1.5%,-0.285714286,D. subpulchrella
1.5%,0.024390244,D. subpulchrella
1.5%,-1,D. subpulchrella
1.5%,-0.764705882,D. subpulchrella
1.5%,0.833333333,D. subpulchrella
1.5%,0,D. subpulchrella
1.5%,-0.857142857,D. subpulchrella
1.5%,0.066666667,D. subpulchrella
1.5%,-0.909090909,D. subpulchrella
1.5%,0.076923077,D. subpulchrella
1.5%,-0.371428571,D. subpulchrella
1.5%,-0.375,D. biarmipes
1.5%,-0.793103448,D. biarmipes
1.5%,-0.944444444,D. biarmipes
1.5%,-0.945945946,D. biarmipes
1.5%,-0.833333333,D. biarmipes
1.5%,-0.344262295,D. biarmipes
1.5%,0,D. biarmipes
1.5%,0.132075472,D. biarmipes
1.5%,-0.380952381,D. biarmipes
1.5%,-0.957446809,D. biarmipes
1.5%,-0.58974359,D. biarmipes
1.5%,-0.948717949,D. biarmipes
1.5%,0.407407407,D. biarmipes
1.5%,0.396226415,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-0.6,D. biarmipes
1.5%,-0.866666667,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,0.957,D. melanogaster
1.5%,0.988,D. melanogaster
1.5%,0.898,D. melanogaster
1.5%,0.979,D. melanogaster
1.5%,0.879,D. melanogaster
1.5%,1.000,D. melanogaster
1.5%,0.951,D. melanogaster
1.5%,0.962,D. melanogaster
1.5%,0.960,D. melanogaster
1.5%,0.541,D. melanogaster
1.5%,0.956,D. melanogaster
1.5%,0.981,D. melanogaster
1.5%,0.871,D. melanogaster
1.5%,0.975,D. melanogaster
1.5%,0.975,D. melanogaster
1.5%,0.960,D. melanogaster
1.5%,0.956,D. melanogaster
1.5%,0.953,D. melanogaster
1.5%,0.769,D. melanogaster
1.5%,1.000,D. melanogaster
1.5%,1.000,D. melanogaster
1.5%,1.000,D. melanogaster
1.5%,1.000,D. melanogaster
1.5%,0.778,D. melanogaster
1.5%,1.000,D. melanogaster
1.5%,1.000,D. melanogaster
1.5%,1.000,D. melanogaster
1.5%,1.000,D. melanogaster
2.5%,-0.347826087,D. suzukii
2.5%,-0.411764706,D. suzukii
2.5%,-0.454545455,D. suzukii
2.5%,-0.66,D. suzukii
2.5%,-0.555555556,D. suzukii
2.5%,-0.56626506,D. suzukii
2.5%,-0.655172414,D. suzukii
2.5%,-0.571428571,D. suzukii
2.5%,-0.678571429,D. suzukii
2.5%,-0.769230769,D. suzukii
2.5%,-0.146341463,D. suzukii
2.5%,-0.166666667,D. suzukii
2.5%,-0.533333333,D. suzukii
2.5%,-0.40625,D. suzukii
2.5%,-0.428571429,D. suzukii
2.5%,-0.6,D. suzukii
2.5%,0.4375,D. suzukii
2.5%,0,D. suzukii
2.5%,-0.125,D. suzukii
2.5%,0.818181818,D. subpulchrella
2.5%,-0.5,D. subpulchrella
2.5%,-0.875,D. subpulchrella
2.5%,-1,D. subpulchrella
2.5%,0.529411765,D. subpulchrella
2.5%,-0.590909091,D. subpulchrella
2.5%,0.214285714,D. subpulchrella
2.5%,-0.666666667,D. subpulchrella
2.5%,-0.866666667,D. subpulchrella
2.5%,-0.727272727,D. subpulchrella
2.5%,-0.625,D. subpulchrella
2.5%,-0.090909091,D. subpulchrella
2.5%,-0.513513514,D. subpulchrella
2.5%,-0.285714286,D. subpulchrella
2.5%,-0.2,D. subpulchrella
2.5%,-0.230769231,D. biarmipes
2.5%,-1,D. biarmipes
2.5%,-0.487179487,D. biarmipes
2.5%,-1,D. biarmipes
2.5%,-0.5,D. biarmipes
2.5%,-1,D. biarmipes
2.5%,-0.913043478,D. biarmipes
2.5%,-0.428571429,D. biarmipes
2.5%,-1,D. biarmipes
2.5%,-1,D. biarmipes
2.5%,-1,D. biarmipes
2.5%,-1,D. biarmipes
2.5%,-1,D. biarmipes
2.5%,-1,D. biarmipes
2.5%,-1,D. biarmipes
2.5%,0.970588235,D. melanogaster
2.5%,0.983471074,D. melanogaster
2.5%,0.949152542,D. melanogaster
2.5%,0.951219512,D. melanogaster
2.5%,0.952755906,D. melanogaster
2.5%,0.985294118,D. melanogaster
2.5%,0.909090909,D. melanogaster
2.5%,0.966386555,D. melanogaster
2.5%,0.955223881,D. melanogaster
2.5%,0.98019802,D. melanogaster
2.5%,1,D. melanogaster
2.5%,1,D. melanogaster
2.5%,1,D. melanogaster
2.5%,1,D. melanogaster
2.5%,1,D. melanogaster
2.5%,1,D. melanogaster
2.5%,0.964912281,D. melanogaster
2.5%,1,D. melanogaster
2.5%,1,D. melanogaster
2.5%,1,D. melanogaster
3.5%,-0.958333333,D. suzukii
3.5%,-0.135135135,D. suzukii
3.5%,-0.916666667,D. suzukii
3.5%,-0.862068966,D. suzukii
3.5%,-1,D. suzukii
3.5%,-0.290322581,D. suzukii
3.5%,-0.714285714,D. suzukii
3.5%,-0.703703704,D. suzukii
3.5%,-0.36,D. suzukii
3.5%,-0.214285714,D. suzukii
3.5%,-0.862068966,D. suzukii
3.5%,-0.348837209,D. suzukii
3.5%,-0.625,D. suzukii
3.5%,-0.724137931,D. suzukii
3.5%,-0.5,D. suzukii
3.5%,-1,D. suzukii
3.5%,0.076923077,D. suzukii
3.5%,-0.464788732,D. suzukii
3.5%,-0.777777778,D. suzukii
3.5%,0.333333333,D. suzukii
3.5%,-0.428571429,D. suzukii
3.5%,-0.875,D. suzukii
3.5%,-0.947368421,D. suzukii
3.5%,-0.142857143,D. suzukii
3.5%,-0.116883117,D. suzukii
3.5%,-0.2,D. suzukii
3.5%,-0.459459459,D. suzukii
3.5%,-0.6,D. subpulchrella
3.5%,0,D. subpulchrella
3.5%,-0.166666667,D. subpulchrella
3.5%,-0.647058824,D. subpulchrella
3.5%,-0.8,D. subpulchrella
3.5%,-0.92,D. subpulchrella
3.5%,-1,D. subpulchrella
3.5%,-1,D. subpulchrella
3.5%,-0.571428571,D. subpulchrella
