Conc,OPI,Species
1.0%,0.405405405,D. suzukii
1.0%,0.15942029,D. suzukii
1.0%,0.38028169,D. suzukii
1.0%,0.536231884,D. suzukii
1.0%,0.41025641,D. suzukii
1.0%,0.384615385,D. suzukii
1.0%,0.2,D. suzukii
1.0%,0.176470588,D. suzukii
1.0%,0.666666667,D. suzukii
1.0%,0.710144928,D. suzukii
1.0%,0.301587302,D. suzukii
1.0%,0.42,D. suzukii
1.0%,0.533333333,D. suzukii
1.0%,0.333333333,D. suzukii
1.0%,0.357142857,D. suzukii
1.0%,-0.818181818,D. subpulchrella
1.0%,-0.904761905,D. subpulchrella
1.0%,-1,D. subpulchrella
1.0%,-0.857142857,D. subpulchrella
1.0%,-0.897435897,D. subpulchrella
1.0%,-0.454545455,D. subpulchrella
1.0%,0,D. subpulchrella
1.0%,-0.5,D. subpulchrella
1.0%,0.84,D. subpulchrella
1.0%,-0.833333333,D. subpulchrella
1.0%,-0.166666667,D. subpulchrella
1.0%,-0.625,D. subpulchrella
1.0%,-0.2,D. subpulchrella
1.0%,-0.076923077,D. subpulchrella
1.0%,-1,D. subpulchrella
1.0%,-0.5,D. biarmipes
1.0%,-0.642857143,D. biarmipes
1.0%,-0.575757576,D. biarmipes
1.0%,-1,D. biarmipes
1.0%,-0.953488372,D. biarmipes
1.0%,-0.586206897,D. biarmipes
1.0%,-0.837837838,D. biarmipes
1.0%,-0.857142857,D. biarmipes
1.0%,-0.846153846,D. biarmipes
1.0%,0.105263158,D. biarmipes
1.0%,-0.666666667,D. biarmipes
1.0%,-0.444444444,D. biarmipes
1.0%,-0.365853659,D. biarmipes
1.0%,-0.833333333,D. biarmipes
1.0%,-0.458333333,D. biarmipes
1.0%,-1,D. biarmipes
1.0%,-0.794871795,D. biarmipes
1.0%,0.538461538,D. biarmipes
1.0%,-0.860465116,D. biarmipes
1.0%,-0.692307692,D. biarmipes
1.0%,-1,D. biarmipes
1.0%,-0.6,D. biarmipes
1.0%,-1,D. biarmipes
1.0%,-1,D. biarmipes
1.0%,-0.411764706,D. melanogaster
1.0%,-0.577777778,D. melanogaster
1.0%,-0.863636364,D. melanogaster
1.0%,-0.898305085,D. melanogaster
1.0%,-0.641791045,D. melanogaster
1.0%,-0.100917431,D. melanogaster
1.0%,-0.185840708,D. melanogaster
1.0%,-0.908045977,D. melanogaster
1.0%,-0.147058824,D. melanogaster
1.0%,-0.846153846,D. melanogaster
1.0%,-0.65,D. melanogaster
1.0%,-0.891304348,D. melanogaster
1.0%,-0.80952381,D. melanogaster
1.0%,-0.960784314,D. melanogaster
1.0%,-1,D. melanogaster
1.0%,-0.792207792,D. melanogaster
1.0%,-0.535714286,D. melanogaster
1.0%,-0.357142857,D. melanogaster
1.0%,-0.903846154,D. melanogaster
1.0%,-0.420289855,D. melanogaster
1.0%,-0.957894737,D. melanogaster
1.0%,-0.951219512,D. melanogaster
1.0%,-0.981651376,D. melanogaster
1.0%,-0.967479675,D. melanogaster
1.0%,-0.984732824,D. melanogaster
1.0%,-0.980952381,D. melanogaster
1.5%,0.476190476,D. suzukii
1.5%,0.310344828,D. suzukii
1.5%,0.573770492,D. suzukii
1.5%,0.1875,D. suzukii
1.5%,0.44,D. suzukii
1.5%,0.588235294,D. suzukii
1.5%,0.4,D. suzukii
1.5%,0.492957746,D. suzukii
1.5%,0.578947368,D. suzukii
1.5%,0.512195122,D. suzukii
1.5%,-0.111111111,D. suzukii
1.5%,0.894736842,D. suzukii
1.5%,0.433962264,D. suzukii
1.5%,0.126582278,D. suzukii
1.5%,0.05,D. suzukii
1.5%,0.672727273,D. suzukii
1.5%,0.6,D. suzukii
1.5%,0.230769231,D. subpulchrella
1.5%,-1,D. subpulchrella
1.5%,-0.818181818,D. subpulchrella
1.5%,-1,D. subpulchrella
1.5%,-1,D. subpulchrella
1.5%,-0.925925926,D. subpulchrella
1.5%,0.212121212,D. subpulchrella
1.5%,-0.923076923,D. subpulchrella
1.5%,-0.578947368,D. subpulchrella
1.5%,-0.25,D. subpulchrella
1.5%,-0.47826087,D. subpulchrella
1.5%,-0.222222222,D. subpulchrella
1.5%,-0.6,D. subpulchrella
1.5%,-0.565217391,D. subpulchrella
1.5%,-0.230769231,D. subpulchrella
1.5%,-1,D. subpulchrella
1.5%,0.333333333,D. subpulchrella
1.5%,-1,D. subpulchrella
1.5%,-1,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,0.849056604,D. biarmipes
1.5%,-0.782608696,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-0.789473684,D. biarmipes
1.5%,-0.8,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-1,D. biarmipes
1.5%,-0.846153846,D. biarmipes
1.5%,-0.984615385,D. melanogaster
1.5%,-1,D. melanogaster
1.5%,-0.98019802,D. melanogaster
1.5%,-0.972222222,D. melanogaster
1.5%,-0.982142857,D. melanogaster
1.5%,-1,D. melanogaster
1.5%,-1,D. melanogaster
1.5%,-0.956989247,D. melanogaster
1.5%,-0.981132075,D. melanogaster
1.5%,-0.941176471,D. melanogaster
1.5%,-1,D. melanogaster
1.5%,-0.97979798,D. melanogaster
1.5%,-1,D. melanogaster
1.5%,-0.984496124,D. melanogaster
1.5%,-1,D. melanogaster
1.5%,-0.929824561,D. melanogaster
1.5%,-0.974358974,D. melanogaster
1.5%,-0.91011236,D. melanogaster
1.5%,-1,D. melanogaster
1.5%,-1,D. melanogaster
2.0%,0.255813953,D. suzukii
2.0%,0.56097561,D. suzukii
2.0%,0.353846154,D. suzukii
2.0%,0.461538462,D. suzukii
2.0%,0.757575758,D. suzukii
2.0%,0.769230769,D. suzukii
2.0%,0.471698113,D. suzukii
2.0%,0.652173913,D. suzukii
2.0%,0.642857143,D. suzukii
2.0%,0.846153846,D. suzukii
2.0%,0.623188406,D. suzukii
2.0%,0.65625,D. suzukii
2.0%,1,D. suzukii
2.0%,-0.1,D. suzukii
2.0%,0.517241379,D. suzukii
2.0%,0.058823529,D. suzukii
2.0%,0.739130435,D. suzukii
2.0%,-0.285714286,D. suzukii
2.0%,0.230769231,D. suzukii
2.0%,0.764705882,D. suzukii
2.0%,0.012658228,D. suzukii
2.0%,0.375,D. suzukii
2.0%,0.636363636,D. suzukii
2.0%,0.306122449,D. suzukii
2.0%,0.76119403,D. suzukii
2.0%,0.2,D. suzukii
2.0%,-0.833333333,D. subpulchrella
2.0%,-0.454545455,D. subpulchrella
2.0%,-0.833333333,D. subpulchrella
2.0%,-0.833333333,D. subpulchrella
2.0%,-0.941176471,D. subpulchrella
2.0%,-0.485714286,D. subpulchrella
2.0%,-1,D. subpulchrella
2.0%,-0.4,D. subpulchrella
2.0%,-0.4,D. subpulchrella
2.0%,-1,D. subpulchrella
2.0%,-0.6,D. subpulchrella
2.0%,-1,D. subpulchrella
2.0%,-1,D. subpulchrella
2.0%,-0.076923077,D. subpulchrella
2.0%,-0.6,D. subpulchrella
2.0%,-0.928571429,D. biarmipes
2.0%,-1,D. biarmipes
2.0%,-0.875,D. biarmipes
2.0%,-1,D. biarmipes
2.0%,-0.647058824,D. biarmipes
2.0%,-0.945945946,D. biarmipes
2.0%,-0.958333333,D. biarmipes
2.0%,-0.793103448,D. biarmipes
2.0%,-1,D. biarmipes
2.0%,-1,D. biarmipes
2.0%,-0.8,D. biarmipes
2.0%,-1,D. biarmipes
2.0%,-1,D. biarmipes
2.0%,-1,D. biarmipes
2.0%,-0.904761905,D. biarmipes
2.0%,-1,D. melanogaster
2.0%,-1,D. melanogaster
