Conc,Control,Comparison,Total,Species
3%,37,79,116,D. suzukii
3%,41,67,108,D. suzukii
3%,19,49,68,D. suzukii
3%,16,29,45,D. suzukii
3%,22,38,60,D. suzukii
3%,11,35,46,D. suzukii
3%,5,17,22,D. suzukii
3%,13,36,49,D. suzukii
3%,17,47,64,D. suzukii
3%,9,55,64,D. suzukii
3%,17,91,108,D. suzukii
3%,22,52,74,D. suzukii
3%,21,54,75,D. suzukii
3%,13,10,23,D. suzukii
3%,3,78,81,D. suzukii
3%,26,84,110,D. suzukii
3%,13,22,35,D. suzukii
3%,3,28,31,D. suzukii
3%,22,46,68,D. suzukii
3%,37,37,74,D. suzukii
3%,8,12,20,D. subpulchrella
3%,13,1,14,D. subpulchrella
3%,6,4,10,D. subpulchrella
3%,9,5,14,D. subpulchrella
3%,3,21,24,D. subpulchrella
3%,15,9,24,D. subpulchrella
3%,3,7,10,D. subpulchrella
3%,3,11,14,D. subpulchrella
3%,15,7,22,D. subpulchrella
3%,15,9,24,D. subpulchrella
3%,10,11,21,D. subpulchrella
3%,3,22,25,D. subpulchrella
3%,20,3,23,D. subpulchrella
3%,5,8,13,D. subpulchrella
3%,3,7,10,D. subpulchrella
3%,37,19,56,D. subpulchrella
3%,11,4,15,D. subpulchrella
3%,9,29,38,D. subpulchrella
3%,4,9,13,D. subpulchrella
3%,3,14,17,D. subpulchrella
3%,10,8,18,D. subpulchrella
3%,11,19,30,D. subpulchrella
3%,30,4,34,D. biarmipes
3%,28,10,38,D. biarmipes
3%,9,29,38,D. biarmipes
3%,0,28,28,D. biarmipes
3%,21,26,47,D. biarmipes
3%,28,9,37,D. biarmipes
3%,0,2,2,D. biarmipes
3%,9,15,24,D. biarmipes
3%,3,44,47,D. biarmipes
3%,21,13,34,D. biarmipes
3%,0,40,40,D. biarmipes
3%,0,36,36,D. biarmipes
3%,11,7,18,D. biarmipes
3%,1,30,31,D. biarmipes
3%,0,38,38,D. biarmipes
3%,31,25,56,D. biarmipes
3%,0,33,33,D. biarmipes
3%,24,27,51,D. biarmipes
3%,5,11,16,D. biarmipes
3%,5,22,27,D. biarmipes
3%,5,7,12,D. biarmipes
3%,2,18,20,D. biarmipes
3%,1,20,21,D. biarmipes
3%,46,50,96,D. melanogaster
3%,31,73,104,D. melanogaster
3%,33,80,113,D. melanogaster
3%,32,93,125,D. melanogaster
3%,73,44,117,D. melanogaster
3%,13,87,100,D. melanogaster
3%,8,68,76,D. melanogaster
3%,13,38,51,D. melanogaster
3%,9,57,66,D. melanogaster
3%,24,54,78,D. melanogaster
3%,37,17,54,D. melanogaster
3%,32,28,60,D. melanogaster
3%,15,34,49,D. melanogaster
3%,31,89,120,D. melanogaster
3%,41,55,96,D. melanogaster
3%,14,49,63,D. melanogaster
3%,6,6,12,D. melanogaster
3%,43,84,127,D. melanogaster
