Conc,OPI,Species
3%,0.362068966,D. suzukii
3%,0.240740741,D. suzukii
3%,0.441176471,D. suzukii
3%,0.288888889,D. suzukii
3%,0.266666667,D. suzukii
3%,0.52173913,D. suzukii
3%,0.545454545,D. suzukii
3%,0.469387755,D. suzukii
3%,0.46875,D. suzukii
3%,0.71875,D. suzukii
3%,0.685185185,D. suzukii
3%,0.405405405,D. suzukii
3%,0.44,D. suzukii
3%,-0.130434783,D. suzukii
3%,0.925925926,D. suzukii
3%,0.527272727,D. suzukii
3%,0.257142857,D. suzukii
3%,0.806451613,D. suzukii
3%,0.352941176,D. suzukii
3%,0,D. suzukii
3%,0.2,D. subpulchrella
3%,-0.857142857,D. subpulchrella
3%,-0.2,D. subpulchrella
3%,-0.285714286,D. subpulchrella
3%,0.75,D. subpulchrella
3%,-0.25,D. subpulchrella
3%,0.4,D. subpulchrella
3%,0.571428571,D. subpulchrella
3%,-0.363636364,D. subpulchrella
3%,-0.25,D. subpulchrella
3%,0.047619048,D. subpulchrella
3%,0.76,D. subpulchrella
3%,-0.739130435,D. subpulchrella
3%,0.230769231,D. subpulchrella
3%,0.4,D. subpulchrella
3%,-0.321428571,D. subpulchrella
3%,-0.466666667,D. subpulchrella
3%,0.526315789,D. subpulchrella
3%,0.384615385,D. subpulchrella
3%,0.647058824,D. subpulchrella
3%,-0.111111111,D. subpulchrella
3%,0.266666667,D. subpulchrella
3%,-0.764705882,D. biarmipes
3%,-0.473684211,D. biarmipes
3%,0.526315789,D. biarmipes
3%,1,D. biarmipes
3%,0.106382979,D. biarmipes
3%,-0.513513514,D. biarmipes
3%,1,D. biarmipes
3%,0.25,D. biarmipes
3%,0.872340426,D. biarmipes
3%,-0.235294118,D. biarmipes
3%,1,D. biarmipes
3%,1,D. biarmipes
3%,-0.222222222,D. biarmipes
3%,0.935483871,D. biarmipes
3%,1,D. biarmipes
3%,-0.107142857,D. biarmipes
3%,1,D. biarmipes
3%,0.058823529,D. biarmipes
3%,0.375,D. biarmipes
3%,0.62962963,D. biarmipes
3%,0.166666667,D. biarmipes
3%,0.8,D. biarmipes
3%,0.904761905,D. biarmipes
3%,0.041666667,D. melanogaster
3%,0.403846154,D. melanogaster
3%,0.415929204,D. melanogaster
3%,0.488,D. melanogaster
3%,-0.247863248,D. melanogaster
3%,0.74,D. melanogaster
3%,0.789473684,D. melanogaster
3%,0.490196078,D. melanogaster
3%,0.727272727,D. melanogaster
3%,0.384615385,D. melanogaster
3%,-0.37037037,D. melanogaster
3%,-0.066666667,D. melanogaster
3%,0.387755102,D. melanogaster
3%,0.483333333,D. melanogaster
3%,0.145833333,D. melanogaster
3%,0.555555556,D. melanogaster
3%,0,D. melanogaster
3%,0.322834646,D. melanogaster
3%,-0.076923077,D. melanogaster
3%,0.4375,D. melanogaster
3%,0.6,D. melanogaster
3%,0.448275862,D. melanogaster
3%,-0.114285714,D. melanogaster
3%,0.45631068,D. melanogaster
3%,0.837398374,D. melanogaster
3%,-0.428571429,D. melanogaster
3%,0.89010989,D. melanogaster
3%,0.746268657,D. melanogaster
3%,0.931034483,D. melanogaster
3%,0.666666667,D. melanogaster
3%,0.848101266,D. melanogaster
3%,-0.64,D. melanogaster
5%,0.7,D. suzukii
5%,0.48,D. suzukii
5%,-0.298245614,D. suzukii
5%,1,D. suzukii
5%,0.179487179,D. suzukii
