Conc,OPI,Species
200mM,-0.1875,D. suzukii
200mM,0.234375,D. suzukii
200mM,-0.037037037,D. suzukii
200mM,0.310344828,D. suzukii
200mM,0.412844037,D. suzukii
200mM,-0.223529412,D. suzukii
200mM,0.575757576,D. suzukii
200mM,0.4,D. suzukii
200mM,0.428571429,D. suzukii
200mM,-0.043478261,D. suzukii
200mM,0.205479452,D. suzukii
200mM,-0.055555556,D. suzukii
200mM,-0.054545455,D. suzukii
200mM,0.541666667,D. suzukii
200mM,0.042735043,D. suzukii
200mM,0.214285714,D. suzukii
200mM,0.352941176,D. suzukii
200mM,0.160714286,D. suzukii
200mM,0.058823529,D. suzukii
200mM,0.032258065,D. suzukii
200mM,0.8,D. subpulchrella
200mM,-0.047619048,D. subpulchrella
200mM,-0.538461538,D. subpulchrella
200mM,0.545454545,D. subpulchrella
200mM,0.818181818,D. subpulchrella
200mM,0.6,D. subpulchrella
200mM,-0.818181818,D. subpulchrella
200mM,0,D. subpulchrella
200mM,-0.6,D. subpulchrella
200mM,0.2,D. subpulchrella
200mM,0.6,D. subpulchrella
200mM,0.384615385,D. subpulchrella
200mM,-0.789473684,D. subpulchrella
200mM,-0.181818182,D. subpulchrella
200mM,0.875,D. subpulchrella
200mM,0.882352941,D. biarmipes
200mM,0.928571429,D. biarmipes
200mM,1,D. biarmipes
200mM,1,D. biarmipes
200mM,1,D. biarmipes
200mM,0.851851852,D. biarmipes
200mM,0.9,D. biarmipes
200mM,0.833333333,D. biarmipes
200mM,1,D. biarmipes
200mM,1,D. biarmipes
200mM,1,D. biarmipes
200mM,1,D. biarmipes
200mM,0.8,D. biarmipes
200mM,1,D. biarmipes
200mM,0.866666667,D. biarmipes
200mM,1,D. melanogaster
200mM,1,D. melanogaster
200mM,0.704545455,D. melanogaster
200mM,0.868421053,D. melanogaster
200mM,0.636363636,D. melanogaster
200mM,0.757575758,D. melanogaster
200mM,0.977011494,D. melanogaster
200mM,0.857142857,D. melanogaster
200mM,0.772727273,D. melanogaster
200mM,0.617977528,D. melanogaster
200mM,1,D. melanogaster
200mM,1,D. melanogaster
200mM,1,D. melanogaster
200mM,1,D. melanogaster
200mM,-0.2,D. melanogaster
200mM,0.8,D. melanogaster
200mM,0.894736842,D. melanogaster
400mM,0.315789474,D. suzukii
400mM,0.183673469,D. suzukii
400mM,0.12,D. suzukii
400mM,-0.23943662,D. suzukii
400mM,-0.220338983,D. suzukii
400mM,-0.03030303,D. suzukii
400mM,0.125,D. suzukii
400mM,0.176470588,D. suzukii
400mM,0.161904762,D. suzukii
400mM,-0.024390244,D. suzukii
400mM,-0.268292683,D. suzukii
400mM,0.025,D. suzukii
400mM,-0.024390244,D. suzukii
400mM,0.259259259,D. suzukii
400mM,0.066666667,D. suzukii
400mM,0.583333333,D. suzukii
400mM,0.342105263,D. suzukii
400mM,-0.034482759,D. suzukii
400mM,0.108695652,D. suzukii
400mM,-0.636363636,D. subpulchrella
400mM,1,D. subpulchrella
400mM,0.636363636,D. subpulchrella
400mM,-0.066666667,D. subpulchrella
400mM,-0.2,D. subpulchrella
400mM,0.833333333,D. subpulchrella
400mM,0.684210526,D. subpulchrella
400mM,-0.8,D. subpulchrella
400mM,-0.2,D. subpulchrella
400mM,-0.272727273,D. subpulchrella
400mM,0.4,D. subpulchrella
400mM,0.416666667,D. subpulchrella
400mM,0.454545455,D. subpulchrella
400mM,0.2,D. subpulchrella
400mM,0.2,D. subpulchrella
400mM,-0.538461538,D. subpulchrella
400mM,1,D. biarmipes
400mM,0.92,D. biarmipes
400mM,1,D. biarmipes
400mM,0.948717949,D. biarmipes
400mM,1,D. biarmipes
400mM,0.909090909,D. biarmipes
400mM,0.6,D. biarmipes
400mM,0.863636364,D. biarmipes
400mM,0.705882353,D. biarmipes
400mM,0.956521739,D. biarmipes
400mM,1,D. biarmipes
400mM,1,D. biarmipes
400mM,1,D. biarmipes
400mM,0.909090909,D. biarmipes
400mM,1,D. biarmipes
400mM,0.743589744,D. biarmipes
400mM,0.125,D. biarmipes
400mM,0.041666667,D. biarmipes
400mM,1,D. biarmipes
400mM,1,D. biarmipes
400mM,0.878787879,D. biarmipes
400mM,0.947368421,D. biarmipes
400mM,1,D. biarmipes
400mM,1,D. melanogaster
400mM,0.795918367,D. melanogaster
400mM,0.777777778,D. melanogaster
400mM,1,D. melanogaster
400mM,0.789473684,D. melanogaster
400mM,0.846153846,D. melanogaster
400mM,1,D. melanogaster
400mM,1,D. melanogaster
400mM,1,D. melanogaster
400mM,1,D. melanogaster
400mM,0.916666667,D. melanogaster
400mM,0.945945946,D. melanogaster
400mM,0.428571429,D. melanogaster
400mM,1,D. melanogaster
400mM,0.75,D. melanogaster
600mM,0.555555556,D. suzukii
600mM,-0.476190476,D. suzukii
600mM,-0.066666667,D. suzukii
600mM,-0.376146789,D. suzukii
600mM,-0.090909091,D. suzukii
600mM,0.379310345,D. suzukii
600mM,0.195402299,D. suzukii
600mM,0.090909091,D. suzukii
600mM,0.131578947,D. suzukii
600mM,0.315068493,D. suzukii
600mM,-0.079365079,D. suzukii
600mM,0.418181818,D. suzukii
600mM,0.416666667,D. suzukii
600mM,0.096774194,D. suzukii
600mM,0.310344828,D. suzukii
600mM,0.212121212,D. suzukii
600mM,0.234042553,D. suzukii
600mM,-0.126436782,D. suzukii
600mM,0.155555556,D. suzukii
600mM,0.166666667,D. suzukii
600mM,0.446808511,D. suzukii
600mM,0.466666667,D. suzukii
600mM,0.133333333,D. suzukii
600mM,0.346534653,D. suzukii
600mM,-0.038961039,D. suzukii
600mM,0.289473684,D. suzukii
600mM,-0.085714286,D. suzukii
600mM,-1,D. suzukii
600mM,0.31147541,D. suzukii
600mM,-1,D. subpulchrella
600mM,0.076923077,D. subpulchrella
600mM,0.066666667,D. subpulchrella
600mM,0.769230769,D. subpulchrella
600mM,0.571428571,D. subpulchrella
600mM,0.4,D. subpulchrella
600mM,-0.636363636,D. subpulchrella
600mM,-0.043478261,D. subpulchrella
600mM,0,D. subpulchrella
600mM,0.368421053,D. subpulchrella
600mM,0.5,D. subpulchrella
600mM,0.4,D. subpulchrella
600mM,-0.411764706,D. subpulchrella
600mM,0.090909091,D. subpulchrella
600mM,0.2,D. subpulchrella
600mM,1,D. biarmipes
600mM,1,D. biarmipes
600mM,0.967213115,D. biarmipes
600mM,0.644444444,D. biarmipes
600mM,0.971428571,D. biarmipes
600mM,0.777777778,D. biarmipes
600mM,1,D. biarmipes
600mM,0.942857143,D. biarmipes
600mM,1,D. biarmipes
600mM,0.958333333,D. biarmipes
600mM,1,D. biarmipes
600mM,1,D. biarmipes
600mM,1,D. biarmipes
600mM,0.862068966,D. biarmipes
600mM,1,D. biarmipes
600mM,0.862068966,D. biarmipes
600mM,0.935483871,D. biarmipes
